,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,85,ZA,1563927404,98,-34.42,19.24,50.0,11.99
1,Rafaela,100,AR,1563927262,56,-31.25,-61.49,48.0,11.99
2,Tuktoyaktuk,90,CA,1563927048,76,69.44,-133.03,53.6,12.75
3,Meulaboh,100,ID,1563927453,79,4.14,96.13,81.45,9.31
4,Dayong,20,CN,1563926922,94,25.02,118.29,80.6,2.24
5,Vaini,100,IN,1563927497,95,15.34,74.49,76.06,4.85
6,Nikolskoye,0,RU,1563926915,67,59.7,30.79,62.6,2.24
7,Busselton,97,AU,1563927405,68,-33.64,115.35,55.0,10.89
8,Yerbogachen,99,RU,1563927204,55,61.28,108.01,67.77,6.69
9,Dali,0,CN,1563927497,46,34.79,109.94,83.44,3.42
10,Artyom,75,RU,1563927497,100,43.36,132.19,71.6,6.71
11,Tiksi,13,RU,1563927498,65,71.64,128.87,43.11,6.13
12,Kongolo,0,CD,1563927498,36,-5.39,27.0,70.11,4.12
13,Cidreira,100,BR,1563927068,98,-30.17,-50.22,64.9,4.63
14,Sept-Iles,75,CA,1563927235,68,50.2,-66.38,64.4,3.36
15,Saint George,40,GR,1563927043,73,39.45,22.34,78.8,1.66
16,Filadelfia,92,PY,1563927499,54,-22.35,-60.04,55.35,10.94
17,La Ronge,40,CA,1563927317,39,55.1,-105.3,84.2,10.29
18,Vao,29,EE,1563926938,87,59.1,26.19,61.83,4.07
19,Albany,75,US,1563927392,64,42.65,-73.75,73.4,3.36
20,Arraial do Cabo,0,BR,1563927499,88,-22.97,-42.02,69.8,12.75
21,Mataura,0,NZ,1563927442,98,-46.19,168.86,46.99,3.0
22,Shimoda,75,JP,1563927500,83,34.7,138.93,84.0,6.93
23,Salalah,90,OM,1563927180,100,17.01,54.1,77.0,4.7
24,Rikitea,15,PF,1563927386,75,-23.12,-134.97,70.66,15.84
25,Carnarvon,76,ZA,1563927421,71,-30.97,22.13,40.06,33.02
26,Kavieng,80,PG,1563927500,78,-2.57,150.8,82.71,28.32
27,Takoradi,17,GH,1563927500,93,4.89,-1.75,72.64,3.27
28,Atuona,21,PF,1563927501,74,-9.8,-139.03,80.56,16.8
29,Avarua,54,CK,1563927501,65,-21.21,-159.78,77.0,12.75
30,Khandyga,8,RU,1563926988,33,62.65,135.58,68.14,4.05
31,Dekar,0,BW,1563927501,14,-21.53,21.93,53.01,9.04
32,Abu Kamal,0,SY,1563927501,34,34.45,40.92,79.47,11.48
33,Yellowknife,75,CA,1563927433,41,62.45,-114.38,77.0,3.36
34,Mangrol,100,IN,1563927502,54,25.33,76.51,91.35,7.16
35,Rafai,98,CF,1563927502,98,4.95,23.92,68.14,2.1
36,Rockland,20,CA,1563927502,46,45.55,-75.29,73.4,9.17
37,Hofn,100,IS,1563927104,96,64.25,-15.21,39.33,15.03
38,East London,42,ZA,1563927502,47,-33.02,27.91,54.1,15.64
39,Bethel,75,US,1563927503,60,60.79,-161.76,68.0,6.93
40,Thompson,40,CA,1563926912,25,55.74,-97.86,89.6,9.17
41,Hilo,75,US,1563927503,62,19.71,-155.08,84.2,10.29
42,Emirdag,0,TR,1563927503,65,39.02,31.15,61.66,5.64
43,Machachi,75,EC,1563927503,81,-0.51,-78.57,57.2,13.87
44,Sioux Lookout,90,CA,1563927485,47,50.1,-91.92,80.6,6.93
45,Gat,20,SN,1563927504,83,14.69,-16.54,84.2,10.29
46,Khatanga,100,RU,1563927504,55,71.98,102.47,51.57,10.29
47,Zabid,95,YE,1563927504,72,14.2,44.5,71.19,1.88
48,Zemio,98,CF,1563927504,96,5.02,25.13,67.77,2.44
49,Jamestown,98,AU,1563927295,94,-33.21,138.6,51.57,9.33
50,Taltal,0,CL,1563927289,86,-25.41,-70.49,45.27,4.32
51,Bredasdorp,99,ZA,1563927505,76,-34.53,20.04,51.8,17.22
52,Kodiak,40,US,1563927505,60,39.95,-94.76,79.0,3.36
53,Alamor,40,EC,1563927505,74,-4.02,-80.02,89.6,3.53
54,Adrar,0,DZ,1563927207,11,27.87,-0.29,96.8,20.8
55,Maniitsoq,37,GL,1563927506,96,65.42,-52.9,41.67,13.51
56,Ponta do Sol,31,BR,1563926963,65,-20.63,-46.0,61.11,6.13
57,Ushuaia,20,AR,1563927430,74,-54.81,-68.31,33.8,13.87
58,Tazovskiy,5,RU,1563927507,69,67.47,78.7,46.54,16.69
59,Leningradskiy,100,RU,1563927438,83,69.38,178.42,38.25,10.09
60,Ciudad Guayana,75,VE,1563927507,86,8.32,-62.69,75.99,1.99
61,Butaritari,76,KI,1563927474,72,3.07,172.79,85.06,10.96
62,Kostino,75,BG,1563927507,88,41.7,25.3,75.0,4.7
63,Esperance,0,AU,1563926979,100,-33.86,121.89,44.6,9.17
64,Sinnamary,72,GF,1563927322,78,5.38,-52.96,81.1,10.54
65,Santa Fe,100,AR,1563927451,72,-31.62,-60.7,52.0,11.01
66,Upernavik,0,GL,1563927426,65,72.79,-56.15,48.87,6.51
67,Road Town,40,VG,1563927440,74,18.42,-64.62,84.2,8.05
68,Outram,75,MY,1563927508,88,1.28,103.84,82.4,6.93
69,Narsaq,61,GL,1563927508,76,60.91,-46.05,50.0,9.17
70,Lompoc,1,US,1563927205,72,34.64,-120.46,91.0,17.22
71,Domat,82,CH,1563927508,77,46.83,9.45,72.0,2.66
72,Bonavista,98,CA,1563927509,77,48.65,-53.11,54.0,1.99
73,Aswan,0,EG,1563927509,23,24.09,32.9,81.64,7.92
74,Kapaa,75,US,1563927260,70,22.08,-159.32,87.8,18.34
75,Chuy,100,UY,1563927509,91,-33.69,-53.46,53.19,10.04
76,Airai,41,TL,1563927395,43,-8.93,125.41,75.69,0.2
77,Waddan,0,LY,1563927008,51,29.16,16.14,72.64,4.97
78,Talnakh,0,RU,1563927090,87,69.49,88.39,53.6,8.95
79,Honningsvag,81,NO,1563927224,80,70.98,25.97,56.07,6.11
80,Yulara,0,AU,1563926985,37,-25.24,130.99,51.8,8.05
81,Tapah,75,MY,1563927510,83,4.2,101.26,78.8,6.93
82,Faanui,65,PF,1563927214,82,-16.48,-151.75,79.83,11.99
83,Norman Wells,20,CA,1563927409,45,65.28,-126.83,82.4,11.41
84,Bayan,100,CN,1563927510,73,36.1,102.26,55.35,0.78
85,Podgornoye,72,RU,1563927511,93,57.79,82.64,56.8,2.53
86,Santa Cruz,3,BR,1563926986,93,-6.22,-36.02,68.5,8.28
87,Praia,0,BR,1563927511,63,-20.25,-43.81,64.4,6.93
88,Goderich,26,CA,1563926882,87,43.74,-81.71,66.0,6.98
89,Nemuro,75,JP,1563927255,77,43.32,145.57,69.8,14.99
90,Staryy Nadym,18,RU,1563927511,69,65.61,72.68,48.51,15.28
91,Itaituba,77,BR,1563927512,58,-4.26,-55.99,77.31,1.16
92,New Norfolk,40,AU,1563927477,74,-42.78,147.06,48.99,5.82
93,Cabedelo,0,BR,1563927512,100,-6.97,-34.84,73.4,6.93
94,Mao,40,DO,1563927512,78,19.55,-71.08,84.2,13.87
95,Castro,0,CL,1563926982,93,-42.48,-73.76,39.2,1.25
96,San Bartolome,40,PH,1563927513,83,14.1,121.16,86.0,4.7
97,Saurimo,34,AO,1563927513,31,-9.66,20.4,61.3,5.55
98,Charyshskoye,94,RU,1563927513,96,51.4,83.56,56.8,3.74
99,Chokurdakh,99,RU,1563927513,79,70.62,147.9,43.47,20.67
100,Arlit,79,NE,1563927513,23,18.74,7.39,98.37,11.7
101,Farah,0,AF,1563927514,15,32.37,62.11,78.57,5.95
102,Belyy Yar,40,RU,1563927514,93,53.6,91.39,59.0,2.24
103,Kinarut,75,MY,1563927514,74,5.82,116.05,82.4,4.7
104,Cherskiy,100,RU,1563927514,66,68.75,161.3,46.17,12.71
105,Quepos,90,CR,1563927515,68,9.43,-84.16,75.2,6.93
106,Turukhansk,85,RU,1563927515,59,65.8,87.96,65.25,2.04
107,Tasiilaq,96,GL,1563927515,70,65.61,-37.64,48.2,5.82
108,Fortuna,1,US,1563926958,77,40.6,-124.16,64.99,16.11
109,Port Blair,100,IN,1563927515,79,11.67,92.75,83.61,19.55
110,Vardo,1,US,1563927516,78,39.62,-77.74,73.99,5.48
111,Lebu,75,ET,1563926975,82,8.96,38.73,59.0,13.87
112,Coihueco,0,CL,1563927516,81,-36.63,-71.83,42.8,4.7
113,Ilek,0,RU,1563927516,83,51.53,53.38,60.21,5.3
114,Kawalu,99,ID,1563927517,93,-7.38,108.21,66.69,2.82
115,Nouakchott,0,MR,1563927517,74,18.08,-15.98,82.4,6.93
116,Kurchum,94,KZ,1563927517,74,48.57,83.65,61.66,7.05
117,Hobart,40,AU,1563927358,74,-42.88,147.33,51.01,5.82
118,Voznesenye,100,RU,1563927517,77,61.02,35.48,53.91,1.7
119,Weston,90,US,1563927300,88,41.2,-73.38,71.01,3.36
120,Mount Isa,10,AU,1563927391,20,-20.73,139.49,68.0,11.41
121,Pak Phanang,20,TH,1563927518,100,8.35,100.2,75.2,3.2
122,Mackenzie,1,CA,1563927518,30,55.34,-123.09,80.6,3.36
123,Souillac,0,FR,1563927518,78,45.6,-0.6,78.01,6.93
124,Bluff,0,AU,1563927262,49,-23.58,149.07,68.31,3.89
125,Brae,2,GB,1563927003,100,60.4,-1.35,57.2,3.36
126,Veraval,0,FR,1563927519,36,49.65,0.71,84.2,9.17
127,Batagay-Alyta,0,RU,1563927519,32,67.8,130.41,69.04,8.72
128,Port Elizabeth,75,US,1563927423,94,39.31,-74.98,73.99,4.7
129,Ribeira Grande,22,PT,1563927519,89,38.52,-28.7,73.18,21.83
130,Puerto del Rosario,69,ES,1563927498,73,28.5,-13.86,71.6,16.11
131,Ixtapa,90,MX,1563927520,100,20.71,-105.21,77.0,11.41
132,Kaitong,7,CN,1563927520,66,44.81,123.15,80.19,6.42
133,Ozernovskiy,100,RU,1563927520,90,51.5,156.52,49.06,10.94
134,Saint-Pierre,0,FR,1563927520,43,48.95,4.24,75.2,3.36
135,Karpathos,0,GR,1563927521,83,35.51,27.21,75.2,26.4
136,Amarante do Maranhao,35,BR,1563927521,69,-5.57,-46.74,72.81,2.17
137,Rognan,75,NO,1563927521,93,67.1,15.4,55.99,1.12
138,Saskylakh,51,RU,1563927401,50,71.97,114.09,51.94,8.57
139,Batsfjord,33,NO,1563927522,63,70.63,29.72,61.11,15.05
140,Vila Franca do Campo,75,PT,1563926998,94,37.72,-25.43,71.6,10.29
141,Dikson,66,RU,1563927473,87,73.51,80.55,36.27,8.68
142,Ust-Kuyga,100,RU,1563927522,78,70.0,135.55,50.85,9.01
143,Bemidji,1,US,1563927522,44,47.48,-94.89,77.0,6.93
144,Ivangorod,35,RU,1563927523,71,59.38,28.23,64.9,4.41
145,Port Alfred,49,ZA,1563927427,54,-33.59,26.89,57.99,11.01
146,Hay River,75,CA,1563927523,60,60.82,-115.79,69.8,11.41
147,Coolum Beach,0,AU,1563927523,63,-26.53,153.09,73.0,1.01
148,Sao Filipe,32,CV,1563927416,86,14.9,-24.5,74.25,20.4
149,Yar-Sale,0,RU,1563927523,70,66.83,70.83,46.54,13.73
150,Mar del Plata,21,AR,1563927408,66,-46.43,-67.52,39.7,5.59
151,Rambha,100,IN,1563927524,82,19.52,85.09,80.91,4.81
152,Codrington,0,AU,1563927524,71,-28.95,153.24,64.4,2.24
153,Hegra,75,NO,1563927524,82,63.46,11.11,64.4,10.29
154,Victoria,75,BN,1563927525,88,5.28,115.24,78.8,4.7
155,Fort Nelson,40,CA,1563927525,35,58.81,-122.69,84.2,5.82
156,Vila Velha,0,BR,1563927525,74,-3.71,-38.6,86.0,3.36
157,Grand Gaube,75,MU,1563927525,88,-20.01,57.66,69.8,16.11
158,Puerto Ayora,20,EC,1563927526,69,-0.74,-90.35,75.2,11.41
159,Cape Town,75,ZA,1563927310,71,-33.93,18.42,55.99,10.29
160,Bambous Virieux,75,MU,1563927410,88,-20.34,57.76,69.8,16.11
161,Lata,57,IN,1563927526,90,30.78,78.62,41.31,1.68
162,Riyadh,0,SA,1563926944,13,24.63,46.72,91.4,4.7
163,Bedford,1,US,1563927273,60,38.86,-86.49,79.0,3.36
164,Pevek,100,RU,1563927527,95,69.7,170.27,31.77,12.64
165,Cayenne,31,GF,1563927038,94,4.94,-52.33,75.2,2.93
166,Anadyr,40,RU,1563927527,76,64.73,177.51,53.6,4.47
167,Bundaberg,0,AU,1563927527,60,-24.87,152.35,68.0,4.7
168,Kisangani,76,CD,1563926957,80,0.52,25.21,72.27,1.66
169,Terney,97,RU,1563927528,96,45.05,136.61,68.14,2.08
170,Sechura,45,PE,1563927528,86,-5.56,-80.82,64.71,16.71
171,Ambilobe,18,MG,1563927528,69,-13.19,49.05,64.54,5.35
172,Byron Bay,0,AU,1563927528,72,-28.65,153.62,72.0,4.7
173,Orlik,75,PL,1563927529,100,53.95,17.74,64.99,4.7
174,Saint-Philippe,90,CA,1563927396,68,45.36,-73.48,75.0,7.87
175,Laibin,93,CN,1563927529,86,23.74,109.23,78.75,4.16
176,Palmer,75,AU,1563927243,87,-34.85,139.16,57.99,12.75
177,Georgetown,20,GY,1563927437,83,6.8,-58.16,82.4,11.41
178,Hithadhoo,100,MV,1563926949,72,-0.6,73.08,83.25,9.04
179,Luderitz,50,NA,1563927530,100,-26.65,15.16,55.4,1.12
180,Saint-Augustin,20,CA,1563927093,53,45.63,-73.98,77.0,12.75
181,Tanabe,75,JP,1563927530,78,33.73,135.39,82.4,5.82
182,College,20,US,1563927441,30,64.86,-147.8,86.0,5.82
183,Iquitos,20,PE,1563927531,70,-3.75,-73.25,86.0,1.12
184,Palanga,100,RO,1563927531,92,44.45,25.08,63.45,9.33
185,Inuvik,40,CA,1563927531,47,68.36,-133.71,75.2,13.87
186,Provideniya,90,RU,1563927531,87,64.42,-173.23,51.8,6.71
187,Udarnyy,100,RU,1563927531,96,54.34,42.86,60.75,8.48
188,Kununurra,6,AU,1563927532,23,-15.77,128.74,75.2,5.82
189,Kralendijk,20,BQ,1563927532,83,12.15,-68.27,82.4,16.11
190,Santiago del Estero,75,AR,1563927532,41,-27.8,-64.26,48.15,11.1
191,Vostok,100,RU,1563927532,99,46.45,135.83,67.06,4.14
192,Roebourne,97,AU,1563927533,19,-20.77,117.15,71.37,8.68
193,Port Shepstone,0,ZA,1563927533,24,-30.74,30.45,59.14,11.45
194,Nanortalik,100,GL,1563927533,97,60.14,-45.24,39.15,2.57
195,Juybar,75,IR,1563927533,88,36.64,52.91,77.0,4.7
196,Punta Arenas,40,CL,1563927413,74,-53.16,-70.91,32.0,3.36
197,Sur,0,OM,1563927062,80,22.57,59.53,78.57,12.41
198,Ostersund,92,SE,1563927534,77,63.18,14.64,60.8,6.93
199,Haifa,0,IL,1563927534,91,32.82,35.0,75.0,1.01
200,Tadine,0,NC,1563927534,71,-21.55,167.88,68.5,19.28
201,Saint Anthony,1,US,1563926843,25,43.97,-111.68,89.6,14.99
202,Iqaluit,75,CA,1563927154,80,63.75,-68.52,41.0,11.41
203,Colesberg,87,ZA,1563927535,67,-30.72,25.1,37.0,34.43
204,Kaitangata,2,NZ,1563927535,67,-46.28,169.85,51.01,1.99
205,Tuatapere,0,NZ,1563927400,98,-46.13,167.69,46.99,3.0
206,Impfondo,77,CD,1563927535,89,1.62,18.06,71.37,1.79
207,Barrow,0,AR,1563927536,44,-38.31,-60.23,40.41,3.91
208,Saint-Paul,0,FR,1563927536,56,45.22,1.9,80.01,6.93
209,Lasa,0,CY,1563927536,56,34.92,32.53,77.0,4.7
210,Illela,54,NG,1563927536,65,12.25,4.3,82.0,10.18
211,Tieli,99,CN,1563927537,95,46.98,128.05,67.77,6.8
212,Cao Bang,100,VN,1563927537,97,22.67,106.25,73.35,2.62
213,Broome,0,GB,1563927323,82,52.47,1.45,72.0,11.41
214,Severo-Kurilsk,100,RU,1563927387,93,50.68,156.12,46.71,10.6
215,Tamandare,28,BR,1563927538,88,-8.28,-70.75,73.71,2.95
216,Samarai,68,PG,1563926946,79,-10.62,150.67,74.07,8.52
217,Tulsipur,100,IN,1563927538,88,27.53,82.41,80.73,12.01
218,Klaksvik,100,FO,1563927538,93,62.23,-6.59,55.4,12.75
219,Kusa,31,RU,1563927538,99,55.34,59.45,51.57,3.76
220,Milos,0,GR,1563927539,65,36.75,24.43,79.66,12.28
221,Borda da Mata,0,BR,1563927539,75,-22.27,-46.17,62.01,4.18
222,Beloha,0,MG,1563927539,74,-25.17,45.06,57.16,7.27
223,Portland,1,US,1563927197,82,43.66,-70.25,68.0,3.29
224,Havelock,90,US,1563927482,74,34.88,-76.9,84.0,14.99
225,Aadorf,37,CH,1563927540,72,47.49,8.9,73.4,1.39
226,Hamilton,75,CA,1563927282,47,43.26,-79.87,77.0,5.82
227,Malanje,10,AO,1563927540,75,-9.54,16.35,60.57,3.53
228,Trairi,31,BR,1563927540,85,-3.28,-39.27,71.56,5.12
229,Begunitsy,0,RU,1563927540,67,59.58,29.3,64.99,2.24
230,Berlevag,58,NO,1563927071,64,70.86,29.09,60.94,14.92
231,Murgab,0,TM,1563927541,24,37.5,61.97,80.6,6.93
232,San Cristobal,100,HN,1563927389,58,14.68,-86.92,76.77,5.5
233,Port Moresby,20,PG,1563927541,65,-9.47,147.16,82.4,17.22
234,Conceicao do Araguaia,49,BR,1563927289,44,-8.26,-49.26,74.44,1.54
235,Viedma,0,AR,1563927541,67,-40.81,-62.99,40.95,4.05
236,Cururupu,17,BR,1563927542,98,-1.82,-44.87,72.27,3.0
237,Sobolevo,66,RU,1563927037,97,54.43,31.9,55.9,6.73
238,Camacha,40,PT,1563927542,88,33.08,-16.33,69.8,8.05
239,Makakilo City,1,US,1563927542,54,21.35,-158.09,89.6,16.11
240,Balkanabat,0,TM,1563927542,75,39.51,54.36,81.64,5.17
241,Soyo,0,AO,1563927543,88,-6.13,12.37,71.01,8.93
242,Pundaguitan,100,PH,1563927237,80,6.37,126.17,80.01,4.74
243,Vestmannaeyjar,100,IS,1563927512,91,63.44,-20.27,53.56,5.19
244,Weligama,100,LK,1563927543,80,5.97,80.42,81.45,13.56
245,Geraldton,75,CA,1563927414,50,49.72,-86.95,75.2,5.82
246,Vicosa,0,BR,1563927544,80,-20.75,-42.88,63.0,3.22
247,Fengcheng,100,CN,1563927544,97,40.45,124.07,74.61,4.03
248,Aykhal,99,RU,1563927218,46,65.95,111.51,69.8,2.24
249,Tezu,100,IN,1563927544,99,27.93,96.16,71.91,3.06
250,San Fernando,75,TT,1563927544,83,10.28,-61.46,84.0,3.36
251,Mandera,33,ET,1563927544,57,3.94,41.86,74.97,17.34
252,Port Keats,27,AU,1563927545,29,-14.25,129.55,73.35,14.43
253,Turmalina,96,BR,1563927545,82,-17.29,-42.73,63.1,5.77
254,Shingu,40,JP,1563927247,74,33.72,135.99,82.4,4.7
255,Yamada,20,JP,1563927545,69,36.58,137.08,82.4,2.24
256,San Francisco,75,CO,1563927545,88,1.17,-76.88,64.4,4.7
257,Qaanaaq,84,GL,1563927453,62,77.48,-69.36,42.76,6.44
258,Rodez,0,FR,1563927546,44,44.35,2.57,78.01,5.82
259,Sosua,40,DO,1563927546,74,19.77,-70.52,84.2,9.17
260,Dudinka,0,RU,1563927546,87,69.41,86.18,53.6,8.95
261,Soyaux,0,FR,1563927546,57,45.64,0.19,77.0,8.05
262,Torbay,90,CA,1563927415,100,47.66,-52.73,55.99,10.29
263,Touros,75,BR,1563927542,94,-5.2,-35.46,75.2,5.82
264,Atar,60,MR,1563927547,22,20.52,-13.05,97.3,17.13
265,Qasigiannguit,75,GL,1563927547,57,68.82,-51.19,51.8,3.36
266,Omboue,44,GA,1563927547,86,-1.57,9.26,73.9,15.14
267,Harnoli,0,PK,1563927548,40,32.28,71.55,94.6,6.35
268,Srandakan,100,ID,1563927548,82,-7.94,110.25,74.97,8.14
269,Tura,100,RU,1563927238,51,64.27,100.22,68.5,3.44
270,Fairbanks,1,US,1563927277,32,64.84,-147.72,86.0,1.88
271,Te Anau,0,NZ,1563927411,77,-45.41,167.72,44.01,3.31
272,Nome,1,US,1563927280,51,30.04,-94.42,88.0,12.75
273,Darovskoy,13,RU,1563927548,93,58.77,47.96,51.57,1.92
274,Srednekolymsk,100,RU,1563927201,68,67.46,153.71,45.81,13.78
275,Perelyub,0,RU,1563927549,81,51.87,50.37,60.94,6.64
276,Barybino,75,RU,1563927549,88,55.27,37.89,64.0,4.47
277,Moindou,75,NC,1563927549,49,-21.69,165.68,71.6,12.75
278,Kieta,100,PG,1563927184,80,-6.22,155.63,81.45,15.17
279,Emba,0,CY,1563927550,56,34.81,32.42,77.0,4.7
280,Liberty,1,US,1563927550,47,39.64,-84.93,77.0,3.36
281,Sangmelima,99,CM,1563927550,99,2.93,11.98,67.06,2.57
282,Lae,75,PG,1563927550,88,-6.72,146.98,75.2,11.41
283,Parabel,6,RU,1563927551,87,58.71,81.5,56.44,6.13
284,Lagoa,0,PT,1563927103,42,37.14,-8.45,80.6,6.93
285,Ketchikan,75,US,1563927497,67,55.34,-131.65,62.6,21.92
286,Gravdal,1,NO,1563927551,93,59.79,5.78,63.0,9.17
287,Amahai,85,ID,1563927551,85,-3.31,129.0,84.0,1.01
288,Lokoja,89,NG,1563927552,96,7.8,6.74,71.56,4.5
289,Elizabeth City,90,US,1563927055,100,36.3,-76.22,73.4,12.66
290,Erenhot,17,CN,1563927552,43,43.65,111.97,74.61,11.32
291,Flinders,17,AU,1563927552,54,-34.58,150.85,63.0,1.99
292,Tabou,98,CI,1563927552,89,4.42,-7.36,74.25,3.0
293,Ugoofaaru,100,MV,1563927553,75,5.67,73.0,82.71,9.19
294,Belvidere,75,US,1563927553,47,42.26,-88.84,78.8,8.05
295,Erechim,25,BR,1563927553,94,-27.64,-52.27,64.0,4.16
296,Clyde River,20,CA,1563927212,55,70.47,-68.59,64.4,3.36
297,Townsville,20,AU,1563927518,56,-19.26,146.82,75.0,9.17
298,Malinao,100,PH,1563927553,75,11.64,122.31,82.35,6.82
299,Marawi,88,PH,1563927554,86,8.0,124.29,78.01,5.99
300,San Rafael,42,AR,1563927554,37,-34.61,-68.33,42.04,5.08
301,Ranfurly,0,CA,1563927554,66,53.41,-111.68,81.27,4.83
302,Okhotsk,0,RU,1563927555,51,59.36,143.24,63.81,4.88
303,Roald,67,NO,1563927296,93,62.58,6.12,66.99,3.36
304,Oliveira,4,BR,1563927555,65,-20.7,-44.83,60.4,3.94
305,Navoloki,100,RU,1563927555,97,57.47,41.96,58.6,5.46
306,Linxia,100,CN,1563927392,78,35.6,103.21,58.23,1.05
307,Mehamn,54,NO,1563927556,64,71.03,27.85,61.83,6.6
308,Tornio,0,FI,1563927472,82,61.12,27.27,64.4,4.7
309,Khasan,81,RU,1563927556,83,42.43,130.64,75.16,5.08
310,Krasnyy Chikoy,80,RU,1563927556,90,50.36,108.75,58.77,3.04
311,Sola,13,TZ,1563927462,40,-3.17,33.8,64.0,5.84
312,Patna,75,IN,1563927284,88,25.61,85.12,80.6,3.36
313,Pizarro,99,CO,1563927557,79,4.95,-77.37,79.3,9.33
314,Gamba,58,CN,1563927557,56,28.28,88.52,44.2,3.13
315,Liusha,8,CN,1563927557,83,27.21,108.59,74.25,2.46
316,Homer,75,US,1563927557,77,59.64,-151.54,61.0,11.41
317,Rawson,0,AR,1563927558,59,-43.3,-65.11,41.13,5.03
318,Bandarbeyla,11,SO,1563927558,59,9.49,50.81,77.85,31.43
319,Los Llanos de Aridane,0,ES,1563927558,73,28.66,-17.92,71.6,14.99
320,Cap Malheureux,75,MU,1563927558,88,-19.98,57.61,69.8,16.11
321,Padang,100,ID,1563927558,80,-0.92,100.36,81.27,14.92
322,Half Moon Bay,1,US,1563927559,60,37.46,-122.43,77.0,16.11
323,Ballina,95,IE,1563927559,84,54.11,-9.15,64.0,5.01
324,Joshimath,58,IN,1563927559,90,30.57,79.57,56.8,0.56
325,Diamantino,0,BR,1563927559,40,-14.4,-56.44,75.69,4.59
326,Caravelas,15,BR,1563927094,84,-17.73,-39.27,72.64,8.41
327,Igrim,58,RU,1563927560,83,63.19,64.42,50.31,5.73
328,Kavaratti,98,IN,1563927560,76,10.57,72.64,82.35,20.49
329,Bela,30,PK,1563927560,67,26.23,66.31,81.81,4.76
330,Bushenyi,60,UG,1563927561,87,-0.54,30.19,64.9,1.03
331,Pokrovsk,0,RU,1563927561,39,61.48,129.14,69.94,1.83
332,Asosa,100,ET,1563927561,92,10.07,34.53,64.0,2.39
